col,best_row,best,second,confidence,char
0,0,0.0,0.0,0.0,
1,22,0.7697160840034485,0.24290220439434052,0.526813879609108,W
2,11,0.21739129722118378,0.17034700512886047,0.0470442920923233,L
3,3,0.034700315445661545,0.0,0.0,
4,12,0.12302839010953903,0.03952569141983986,0.08350269868969917,M
5,3,0.33438485860824585,0.29652997851371765,0.0378548800945282,D
6,3,0.2807570993900299,0.12252964079380035,0.15822745859622955,D
7,0,0.0,0.0,0.0,
8,0,0.0,0.0,0.0,
9,0,0.0,0.0,0.0,
10,0,0.0,0.0,0.0,
11,0,0.0,0.0,0.0,
12,0,0.0,0.0,0.0,
13,0,0.0,0.0,0.0,
14,0,0.0,0.0,0.0,
15,0,0.0,0.0,0.0,
16,0,0.0,0.0,0.0,
17,0,0.0,0.0,0.0,
18,0,0.0,0.0,0.0,
19,0,0.0,0.0,0.0,
