group,x,y,area,selected,char,row_idx,x_local,y_local
0,116.94117647058823,384.6470588235294,102,0,V,21,36.94117647058823,94.64705882352939
0,121.40894568690095,958.0894568690096,313,1,V,21,41.40894568690095,668.0894568690096
1,144.28571428571428,383.1103896103896,154,0,A,0,64.28571428571428,93.11038961038957
1,147.75,424.0886075949367,316,1,A,0,67.75,134.08860759493672
2,173.73737373737373,628.1077441077441,297,1,I,8,93.73737373737373,338.1077441077441
3,195.38095238095238,383.1619047619048,105,0,S,18,115.38095238095238,93.1619047619048
3,198.39446366782005,883.0034602076124,289,1,S,18,118.39446366782005,593.0034602076124
4,220.31313131313132,380.0505050505051,99,0,H,7,140.31313131313132,90.05050505050508
4,224.25085910652922,602.7147766323023,291,1,H,7,144.25085910652922,312.71477663230235
5,247.27007299270073,380.27007299270076,137,0,A,0,167.27007299270073,90.27007299270076
5,249.5359477124183,424.74836601307186,306,1,A,0,169.5359477124183,134.74836601307186
6,272.1585365853658,382.7560975609756,82,0,L,11,192.15853658536582,92.7560975609756
6,275.4290322580645,704.1290322580645,310,1,L,11,195.42903225806452,414.1290322580645
7,299.625,384.06666666666666,120,0,I,8,219.625,94.06666666666666
7,301.3865814696486,628.5463258785942,313,1,I,8,221.3865814696486,338.5463258785942
